Ename,Score,Percentage
國文,15,100
國文,14,97.21
國文,13,90.05
國文,12,77.65
國文,11,61.62
國文,10,45.06
國文,9,30.45
國文,8,19.15
國文,7,11.45
國文,6,6.47
國文,5,3.45
國文,4,1.67
國文,3,0.73
國文,2,0.14
國文,1,0.01
國文,0,0
英文,15,100
英文,14,94.48
英文,13,84.64
英文,12,74.96
英文,11,65.01
英文,10,56.09
英文,9,48.84
英文,8,41.72
英文,7,35.1
英文,6,29.35
英文,5,23.15
英文,4,16.34
英文,3,9.22
英文,2,1.46
英文,1,0.05
英文,0,0
數學,15,100
數學,14,97.25
數學,13,93.81
數學,12,89.52
數學,11,85.12
數學,10,79.25
數學,9,72.41
數學,8,65.77
數學,7,58.1
數學,6,50.05
數學,5,42.11
數學,4,31.47
數學,3,19.18
數學,2,8.75
數學,1,1.51
數學,0,0.04
社會,15,100
社會,14,96.83
社會,13,88.53
社會,12,78.79
社會,11,64.4
社會,10,52.26
社會,9,37.76
社會,8,27.58
社會,7,18.88
社會,6,10.35
社會,5,5.27
社會,4,1.39
社會,3,0.23
社會,2,0.02
社會,1,0.01
社會,0,0.01
自然,15,100
自然,14,97.83
自然,13,94.41
自然,12,89.35
自然,11,82.8
自然,10,75.28
自然,9,66.62
自然,8,56.84
自然,7,45.98
自然,6,33.56
自然,5,20.33
自然,4,8.87
自然,3,1.98
自然,2,0.14
自然,1,0.01
自然,0,0
