,Cname,Gname
0,資訊工程學類,工程學群
1,資訊工程學類,資訊學群
2,生物資訊學類,生命科學學群
3,生物資訊學類,資訊學群
4,資訊傳播學類,大眾傳播學群
5,資訊傳播學類,資訊學群
6,圖書資訊學類,文史哲學群
7,圖書資訊學類,資訊學群
8,數位學習學類,教育學群
9,數位學習學類,資訊學群
10,資訊管理學類,管理學群
11,資訊管理學類,資訊學群
12,電子商務學類,管理學群
13,電子商務學類,資訊學群
14,媒體設計學類,建築設計學群
15,媒體設計學類,資訊學群
16,電機工程學類,工程學群
17,電機工程學類,資訊學群
18,光電工程學類,工程學群
19,光電工程學類,資訊學群
20,電子工程學類,工程學群
21,電子工程學類,資訊學群
22,通訊工程學類,工程學群
23,通訊工程學類,資訊學群
24,數據統計學類,數理化學群
25,數據統計學類,資訊學群
26,工程科學學類,工程學群
27,工程科學學類,地球環境學群
28,機械工程學類,工程學群
29,航空工程學類,工程學群
30,土木工程學類,工程學群
31,水利工程學類,工程學群
32,水利工程學類,地球環境學群
33,化學工程學類,工程學群
34,材料工程學類,工程學群
35,生醫工程學類,工程學群
36,生醫工程學類,生命科學學群
37,環境工程學類,工程學群
38,環境工程學類,地球環境學群
39,建築學類,工程學群
40,建築學類,建築設計學群
41,科技管理學類,工程學群
42,科技管理學類,管理學群
43,運輸物流學類,工程學群
44,運輸物流學類,管理學群
45,科技教育學類,工程學群
46,科技教育學類,教育學群
47,數學學類,數理化學群
48,化學學類,數理化學群
49,物理學類,數理化學群
50,生化學類,生命科學學群
51,生化學類,數理化學群
52,數學教育學類,教育學群
53,數學教育學類,數理化學群
54,自然科學學類,數理化學群
55,財金統計學類,財經學群
56,財金統計學類,數理化學群
57,運動保健學類,遊憩運動學群
58,運動保健學類,醫藥衛生學群
59,醫學學類,醫藥衛生學群
60,公共衛生學類,醫藥衛生學群
61,不分系學類,不分系學群
62,牙醫學類,醫藥衛生學群
63,物理治療學類,醫藥衛生學群
64,職能治療學類,醫藥衛生學群
65,護理學類,醫藥衛生學群
66,醫學檢驗學類,醫藥衛生學群
67,影像放射學類,醫藥衛生學群
68,藥學學類,醫藥衛生學群
69,食品營養學類,醫藥衛生學群
70,呼吸治療學類,醫藥衛生學群
71,健康照護學類,醫藥衛生學群
72,化妝品學類,醫藥衛生學群
73,職業安全學類,醫藥衛生學群
74,獸醫學類,生物資源學群
75,獸醫學類,醫藥衛生學群
76,醫務管理學類,管理學群
77,醫務管理學類,醫藥衛生學群
78,視光學類,醫藥衛生學群
79,語療聽力學類,醫藥衛生學群
80,生命科學學類,生命科學學群
81,生物科技學類,生命科學學群
82,植物保護學類,生命科學學群
83,植物保護學類,生物資源學群
84,食品生技學類,生命科學學群
85,食品生技學類,生物資源學群
86,生態學類,生命科學學群
87,生態學類,生物資源學群
88,農藝學類,生物資源學群
89,動物科學學類,生物資源學群
90,園藝學類,生物資源學群
91,森林學類,生物資源學群
92,海洋資源學類,生物資源學群
93,地球科學學類,地球環境學群
94,地理學類,地球環境學群
95,海洋科學學類,地球環境學群
96,大氣科學學類,地球環境學群
97,防災學類,地球環境學群
98,史地學類,文史哲學群
99,史地學類,地球環境學群
100,都市計畫學類,建築設計學群
101,空間設計學類,建築設計學群
102,工業設計學類,藝術學群
103,工業設計學類,建築設計學群
104,工藝學類,藝術學群
105,工藝學類,建築設計學群
106,商業設計學類,藝術學群
107,商業設計學類,建築設計學群
108,服裝設計學類,藝術學群
109,服裝設計學類,建築設計學群
110,藝術設計學類,藝術學群
111,藝術設計學類,建築設計學群
112,美術學類,藝術學群
113,音樂學類,藝術學群
114,表演藝術學類,藝術學群
115,舞蹈學類,藝術學群
116,舞蹈學類,遊憩運動學群
117,心理學類,社會心理學群
118,社會學學類,社會心理學群
119,社會工作學類,社會心理學群
120,人類民族學類,社會心理學群
121,兒童家庭學類,社會心理學群
122,宗教學類,文史哲學群
123,宗教學類,社會心理學群
124,輔導諮商學類,社會心理學群
125,犯罪防治學類,法政學群
126,犯罪防治學類,社會心理學群
127,勞工關係學類,管理學群
128,勞工關係學類,社會心理學群
129,大眾傳播學類,大眾傳播學群
130,廣電電影學類,大眾傳播學群
131,新聞學類,大眾傳播學群
132,廣告公關學類,大眾傳播學群
133,英語文學類,外語學群
134,歐語文學類,外語學群
135,日語文學類,外語學群
136,東方語文學類,外語學群
137,英語教育學類,外語學群
138,英語教育學類,教育學群
139,文化產業學類,管理學群
140,文化產業學類,文史哲學群
141,中國語文學類,文史哲學群
142,歷史學類,文史哲學群
143,哲學學類,文史哲學群
144,台灣語文學類,文史哲學群
145,華語文教育學類,教育學群
146,華語文教育學類,文史哲學群
147,教育學類,教育學群
148,特殊教育學類,教育學群
149,幼兒教育學類,教育學群
150,成人教育學類,教育學群
151,社科教育學類,教育學群
152,法律學類,法政學群
153,財經法律學類,法政學群
154,政治學類,法政學群
155,行政管理學類,法政學群
156,行政管理學類,管理學群
157,土地資產學類,法政學群
158,土地資產學類,管理學群
159,企業管理學類,管理學群
160,行銷經營學類,管理學群
161,觀光事業學類,管理學群
162,觀光事業學類,遊憩運動學群
163,運動管理學類,管理學群
164,運動管理學類,遊憩運動學群
165,餐旅管理學類,管理學群
166,餐旅管理學類,遊憩運動學群
167,休閒管理學類,管理學群
168,休閒管理學類,遊憩運動學群
169,國際企業學類,管理學群
170,國際企業學類,財經學群
171,會計學類,財經學群
172,財務金融學類,財經學群
173,財稅學類,財經學群
174,保險學類,財經學群
175,經濟學類,財經學群
176,體育學類,遊憩運動學群
