DID,UName,UURL,DName,DURL,Salary,SalaryURL,TL1,TL2,TL3,TL4,TL5,ELLEVEL,C,E,M,S,N,CE,CM,CS,CN,EM,ES,EN,MS,MN,SN,CEM,CES,CEN,CMS,CMN,CSN,EMS,EMN,ESN,MSN,CEMS,CEMN,CESN,CMSN,EMSN,CEMSN,City,PP,Change,lastCriterion,rateOfThisYear,ExamURL
001012,國立臺灣大學,0,中國文學系,0,0,0,4,3,3,3,0,N,15,14,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"社=13, 英=14, 國=15","國 * 3, 英 * 6, 社 * 8",https://www.cac.edu.tw/apply109/system/109ColQrytk4p_forapply_os92k5w/html/109_001012.htm
001022,國立臺灣大學,0,外國語文學系,0,0,0,4,5,0,4,0,N,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,錄取人數改變,英=15,英 * 2.5,https://www.cac.edu.tw/apply109/system/109ColQrytk4p_forapply_os92k5w/html/109_001022.htm
001032,國立臺灣大學,0,歷史學系,0,0,0,4,4,3,4,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,國英社=43,"國 * 3, 英 * 3, 社 * 3",https://www.cac.edu.tw/apply109/system/109ColQrytk4p_forapply_os92k5w/html/109_001032.htm
001042,國立臺灣大學,0,哲學系,0,0,0,4,4,4,0,0,N,0,14,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"檢定標準改變, 篩選倍率改變","國社=28, 英=14","國 * 6, 英 * 3, 數 * 6",https://www.cac.edu.tw/apply109/system/109ColQrytk4p_forapply_os92k5w/html/109_001042.htm
001052,國立臺灣大學,0,人類學系,0,0,0,0,3,0,3,0,N,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,錄取人數改變,"英=14, 國英社自=55","英 * 5, (國+英+數+社) * 2",https://www.cac.edu.tw/apply109/system/109ColQrytk4p_forapply_os92k5w/html/109_001052.htm
001062,國立臺灣大學,0,圖書資訊學系,0,0,0,4,4,3,3,0,N,14,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,錄取人數改變,"國英數社=55, 國=14, 英=15","國 * 5, 英 * 3, (國+英+數+社) * 6",https://www.cac.edu.tw/apply109/system/109ColQrytk4p_forapply_os92k5w/html/109_001062.htm
001072,國立臺灣大學,0,日本語文學系,0,0,0,4,4,3,4,0,N,0,0,0,14,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,錄取人數改變,"國英數社=53, 社=14, 國英=28","國 * 3, 英 * 3, 社 * 4, (國+英+數+社) * 5",https://www.cac.edu.tw/apply109/system/109ColQrytk4p_forapply_os92k5w/html/109_001072.htm
001092,國立臺灣大學,0,數學系,0,0,0,0,3,4,0,3,N,0,0,15,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"錄取人數改變, 檢定標準改變","自=13, 數=15","數 * 3, 自 * 10",https://www.cac.edu.tw/apply109/system/109ColQrytk4p_forapply_os92k5w/html/109_001092.htm
001102,國立臺灣大學,0,物理學系,0,0,0,4,4,0,0,0,N,0,0,15,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,錄取人數改變,"自=12, 數=15","數 * 3, 自 * 6",https://www.cac.edu.tw/apply109/system/109ColQrytk4p_forapply_os92k5w/html/109_001102.htm
001112,國立臺灣大學,0,化學系,0,0,0,3,3,3,0,3,N,0,14,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"自=14, 數=14, 英=14","英 * 3, 數 * 4, 自 * 5",https://www.cac.edu.tw/apply109/system/109ColQrytk4p_forapply_os92k5w/html/109_001112.htm
