,school_name,major_name,major_class
0,國立臺灣大學,資訊工程學系,資訊工程學類
1,國立臺灣師範大學,資訊工程學系,資訊工程學類
2,國立中興大學,資訊科學與工程學系,資訊工程學類
3,國立成功大學,資訊工程學系,資訊工程學類
4,國立政治大學,資訊科學系,資訊工程學類
5,中原大學,電機資訊學院學士班,資訊工程學類
6,中原大學,資訊工程學系,資訊工程學類
7,東海大學,資訊工程學系,資訊工程學類
8,國立清華大學,資訊工程學系甲組(電子資訊組),資訊工程學類
9,國立清華大學,資訊工程學系乙組(資訊工程組),資訊工程學類
10,國立清華大學,資訊工程學系丙組(人工智慧組)  (問卷填答中),資訊工程學類
11,國立交通大學,資訊工程學系,資訊工程學類
12,淡江大學,資訊工程學系,資訊工程學類
13,淡江大學,資訊創新與科技學系軟體工程全英語組(蘭陽校園),資訊工程學類
14,淡江大學,資訊創新與科技學系應用資訊全英語組(蘭陽校園),資訊工程學類
15,逢甲大學,資訊工程學系,資訊工程學類
16,逢甲大學,美國加州舊金山州立大學資訊工程雙學士學位學程,資訊工程學類
17,國立中央大學,資訊工程學系,資訊工程學類
18,中國文化大學,資訊工程學系,資訊工程學類
19,靜宜大學,資訊工程學系,資訊工程學類
20,大同大學,資訊工程學系,資訊工程學類
21,輔仁大學,資訊工程學系,資訊工程學類
22,國立臺灣海洋大學,資訊工程學系,資訊工程學類
23,國立高雄師範大學,軟體工程與管理學系,資訊工程學類
24,國立彰化師範大學,資訊工程學系,資訊工程學類
25,國立中山大學,資訊工程學系,資訊工程學類
26,長庚大學,資訊工程學系,資訊工程學類
27,長庚大學,人工智慧學士學位學程  (問卷填答中),資訊工程學類
28,國立臺中教育大學,資訊工程學系,資訊工程學類
29,國立臺中教育大學,數位內容科技學系,資訊工程學類
30,國立臺北教育大學,資訊科學系,資訊工程學類
31,國立臺南大學,資訊工程學系,資訊工程學類
32,國立東華大學,資訊工程學系資工組,資訊工程學類
33,國立東華大學,資訊工程學系國際組,資訊工程學類
34,臺北市立大學,資訊科學系,資訊工程學類
35,國立屏東大學,資訊科學系,資訊工程學類
36,國立屏東大學,資訊工程學系,資訊工程學類
37,國立臺東大學,資訊工程學系,資訊工程學類
38,國立臺東大學,綠色與資訊科技學士學位學程,資訊工程學類
39,元智大學,資訊工程學系,資訊工程學類
40,國立中正大學,資訊工程學系,資訊工程學類
41,大葉大學,資訊工程學系,資訊工程學類
42,中華大學,資訊工程學系(資訊工程組),資訊工程學類
43,中華大學,資訊工程學系(智慧軟體設計組),資訊工程學類
44,中華大學,資訊工程學系(資訊應用組),資訊工程學類
45,中華大學,資訊工程學系(人工智慧組),資訊工程學類
46,義守大學,資訊工程學系,資訊工程學類
47,銘傳大學,資訊工程學系(桃園校區),資訊工程學類
48,銘傳大學,電腦與通訊工程學系(桃園校區),資訊工程學類
49,實踐大學,資訊科技與通訊學系(高雄校區),資訊工程學類
50,長榮大學,資訊暨設計學院學士班(資訊工程組),資訊工程學類
51,國立暨南國際大學,資訊工程學系,資訊工程學類
52,南華大學,資訊工程學系,資訊工程學類
53,真理大學,資訊工程學系,資訊工程學類
54,國立臺北大學,資訊工程學系,資訊工程學類
55,國立嘉義大學,資訊工程學系,資訊工程學類
56,國立高雄大學,資訊工程學系,資訊工程學類
57,亞洲大學,資訊工程學系(人工智慧組),資訊工程學類
58,亞洲大學,資訊工程學系(數位內容與遊戲設計組),資訊工程學類
59,亞洲大學,資訊工程學系(智慧電子組),資訊工程學類
60,國立宜蘭大學,資訊工程學系,資訊工程學類
61,國立聯合大學,資訊工程學系,資訊工程學類
62,國立金門大學,資訊工程學系,資訊工程學類
63,中山醫學大學,醫學資訊學系,生物資訊學類
64,中華大學,光電與材料工程學系(生醫光電組),生物資訊學類
65,慈濟大學,醫學資訊學系,生物資訊學類
66,亞洲大學,生物資訊與醫學工程學系(生醫資訊組),生物資訊學類
67,亞洲大學,生物資訊與醫學工程學系(醫學工程組),生物資訊學類
68,淡江大學,資訊傳播學系,資訊傳播學類
69,中國文化大學,資訊傳播學系,資訊傳播學類
70,靜宜大學,資訊傳播工程學系,資訊傳播學類
71,元智大學,資訊傳播學系設計組,資訊傳播學類
72,元智大學,資訊傳播學系科技組,資訊傳播學類
73,華梵大學,攝影與VR設計學系VR與互動媒體組,資訊傳播學類
74,銘傳大學,資訊傳播工程學系(桃園校區),資訊傳播學類
75,世新大學,資訊傳播學系,資訊傳播學類
76,國立臺灣體育運動大學,運動資訊與傳播學系(傳播組),資訊傳播學類
77,國立臺灣體育運動大學,運動資訊與傳播學系(資訊組),資訊傳播學類
78,真理大學,運動資訊傳播學系,資訊傳播學類
79,開南大學,資訊傳播學系,資訊傳播學類
80,明道大學,資訊傳播學系,資訊傳播學類
81,亞洲大學,資訊傳播學系智慧傳播應用組,資訊傳播學類
82,亞洲大學,資訊傳播學系新媒體傳播內容組,資訊傳播學類
83,國立臺灣大學,圖書資訊學系,圖書資訊學類
84,淡江大學,資訊與圖書館學系,圖書資訊學類
85,輔仁大學,圖書資訊學系,圖書資訊學類
86,淡江大學,教育科技學系,數位學習學類
87,國立臺北教育大學,數學暨資訊教育學系資訊組,數位學習學類
88,國立臺南大學,數位學習科技學系,數位學習學類
89,臺北市立大學,學習與媒材設計學系,數位學習學類
90,國立臺東大學,數位媒體與文教產業學系,數位學習學類
91,國立嘉義大學,數位學習設計與管理學系,數位學習學類
92,國立臺灣大學,資訊管理學系,資訊管理學類
93,國立中興大學,資訊管理學系,資訊管理學類
94,東吳大學,資訊管理學系,資訊管理學類
95,國立政治大學,資訊管理學系,資訊管理學類
96,中原大學,資訊管理學系,資訊管理學類
97,東海大學,資訊管理學系,資訊管理學類
98,淡江大學,資訊管理學系,資訊管理學類
99,國立中央大學,資訊管理學系,資訊管理學類
100,中國文化大學,資訊管理學系,資訊管理學類
101,靜宜大學,資訊管理學系,資訊管理學類
102,大同大學,資訊經營學系,資訊管理學類
103,輔仁大學,資訊管理學系,資訊管理學類
104,國立彰化師範大學,資訊管理學系資訊管理組,資訊管理學類
105,國立彰化師範大學,資訊管理學系數位內容科技與管理組,資訊管理學類
106,國立中山大學,資訊管理學系,資訊管理學類
107,長庚大學,資訊管理學系,資訊管理學類
108,國立東華大學,資訊管理學系,資訊管理學類
109,國立屏東大學,資訊管理學系,資訊管理學類
110,國立臺東大學,資訊管理學系,資訊管理學類
111,元智大學,資訊管理學系,資訊管理學類
112,元智大學,資訊學院英語學士班,資訊管理學類
113,國立中正大學,資訊管理學系,資訊管理學類
114,大葉大學,資訊管理學系,資訊管理學類
115,中華大學,資訊管理學系(資訊系統設計與智慧製造組),資訊管理學類
116,中華大學,資訊管理學系(資訊管理應用組),資訊管理學類
117,中華大學,資訊管理學系(手機軟體設計組),資訊管理學類
118,中華大學,資訊管理學系(巨量資料應用組),資訊管理學類
119,華梵大學,智慧生活科技學系智慧產品開發組,資訊管理學類
120,華梵大學,智慧生活科技學系大數據與管理組,資訊管理學類
121,義守大學,資訊管理學系,資訊管理學類
122,銘傳大學,資訊管理學系雲端技術管理組(桃園校區),資訊管理學類
123,銘傳大學,資訊管理學系巨量資料管理組(桃園校區),資訊管理學類
124,銘傳大學,資訊管理學系電子商務管理組(桃園校區),資訊管理學類
125,銘傳大學,資訊科技應用與管理學士學位學程(全英語授課．桃園校區),資訊管理學類
126,世新大學,資訊管理學系資訊管理組,資訊管理學類
127,世新大學,資訊管理學系資訊科技組,資訊管理學類
128,世新大學,資訊管理學系網路科技組,資訊管理學類
129,實踐大學,資訊科技與管理學系(臺北校區),資訊管理學類
130,實踐大學,資訊管理學系(高雄校區),資訊管理學類
131,長榮大學,資訊暨設計學院學士班,資訊管理學類
132,長榮大學,資訊暨設計學院學士班(資訊管理組),資訊管理學類
133,國立暨南國際大學,資訊管理學系,資訊管理學類
134,南華大學,資訊管理學系,資訊管理學類
135,真理大學,資訊管理學系,資訊管理學類
136,國立嘉義大學,資訊管理學系,資訊管理學類
137,國立高雄大學,資訊管理學系,資訊管理學類
138,開南大學,資訊管理學系,資訊管理學類
139,中信金融管理學院,人工智慧學系,資訊管理學類
140,佛光大學,資訊應用學系,資訊管理學類
141,稻江科技暨管理學院,行動科技學系,資訊管理學類
142,稻江科技暨管理學院,經營管理學士學位學程,資訊管理學類
143,國立聯合大學,資訊管理學系,資訊管理學類
144,國立屏東大學,商業自動化與管理學系,電子商務學類
145,大同大學,媒體設計學系互動媒體設計組,媒體設計學類
146,大同大學,媒體設計學系數位遊戲設計組,媒體設計學類
147,國立臺北藝術大學,動畫學系,媒體設計學類
148,國立臺北教育大學,數位科技設計學系,媒體設計學類
149,大葉大學,多媒體數位內容學士學位學程,媒體設計學類
150,華梵大學,攝影與VR設計學系攝影與科技藝術組,媒體設計學類
151,義守大學,數位多媒體設計學系,媒體設計學類
152,銘傳大學,數位媒體設計學系(桃園校區),媒體設計學類
153,銘傳大學,動漫文創設計學士學位學程(桃園校區),媒體設計學類
154,世新大學,數位多媒體設計學系動畫設計組,媒體設計學類
155,世新大學,數位多媒體設計學系遊戲設計組,媒體設計學類
156,實踐大學,媒體傳達設計學系(臺北校區),媒體設計學類
157,實踐大學,資訊模擬與設計學系(高雄校區),媒體設計學類
158,實踐大學,電腦動畫學士學位學程(高雄校區),媒體設計學類
159,長榮大學,資訊暨設計學院學士班(數位內容設計組),媒體設計學類
160,長榮大學,資訊暨設計學院學士班(互動設計組),媒體設計學類
161,長榮大學,資訊暨設計學院學士班(媒體設計組),媒體設計學類
162,開南大學,電影與創意媒體學系,媒體設計學類
163,稻江科技暨管理學院,動畫遊戲設計學系,媒體設計學類
164,明道大學,數位設計學系,媒體設計學類
165,亞洲大學,行動商務與多媒體應用學系(多媒體應用組),媒體設計學類
166,亞洲大學,行動商務與多媒體應用學系(行動商務組),媒體設計學類
167,亞洲大學,數位媒體設計學系(數位遊戲設計組),媒體設計學類
168,亞洲大學,數位媒體設計學系(數位動畫設計組),媒體設計學類
169,國立臺灣大學,電機工程學系,電機工程學類
170,國立臺灣師範大學,電機工程學系,電機工程學類
171,國立中興大學,電機工程學系,電機工程學類
172,國立成功大學,電機工程學系,電機工程學類
173,中原大學,電機工程學系,電機工程學類
174,東海大學,電機工程學系,電機工程學類
175,國立清華大學,電機工程學系,電機工程學類
176,國立交通大學,電機工程學系,電機工程學類
177,淡江大學,電機工程學系電機資訊組,電機工程學類
178,淡江大學,電機工程學系電機通訊組,電機工程學類
179,淡江大學,電機工程學系電機與系統組,電機工程學類
180,逢甲大學,電機工程學系,電機工程學類
181,逢甲大學,自動控制工程學系,電機工程學類
182,逢甲大學,美國加州聖荷西州立大學工程雙學士學位學程,電機工程學類
183,國立中央大學,電機工程學系,電機工程學類
184,中國文化大學,電機工程學系,電機工程學類
185,大同大學,電機工程學系,電機工程學類
186,輔仁大學,電機工程學系,電機工程學類
187,國立臺灣海洋大學,電機工程學系,電機工程學類
188,國立高雄師範大學,電機工程學系,電機工程學類
